
:=========== Few-shot Seg. with Matcher ===========
|             datapath: datasets                
|            benchmark: pascal_part             
|                  bsz: 1                       
|              nworker: 0                       
|                 fold: 2                       
|                nshot: 1                       
|             img_size: 518                     
| use_original_imgsize: False                   
|             log_root: output/pascal/fold2     
|            visualize: 0                       
|       dinov2_weights: models/dinov2_vitl14_pretrain.pth
|          sam_weights: models/sam_vit_h_4b8939.pth
|      points_per_side: 64                      
|      pred_iou_thresh: 0.88                    
| sel_stability_score_thresh: 0.0                     
| stability_score_thresh: 0.95                    
|           iou_filter: 0.0                     
|       box_nms_thresh: 1.0                     
|         output_layer: 3                       
| dense_multimask_output: 0                       
|       use_dense_mask: 0                       
|     multimask_output: 0                       
|          num_centers: 8                       
|              use_box: True                    
| use_points_or_centers: True                    
|         sample_range: (3, 6)                  
| max_sample_iterations: 128                     
|                alpha: 0.5                     
|                 beta: 0.5                     
|                  exp: 0.0                     
|           emd_filter: 0.0                     
|        purity_filter: 0.0                     
|      coverage_filter: 0.3                     
|     use_score_filter: False                   
| deep_score_norm_filter: 0.1                     
|    deep_score_filter: 0.33                    
| topk_scores_threshold: 0.7                     
|     num_merging_mask: 5                       
:================================================

# available GPUs: 2
using MLP layer as FFN
Pretrained weights found at models/dinov2_vitl14_pretrain.pth and loaded with msg: <All keys matched successfully>
[Batch: 0110/2500] mIoU: 31.84  |  FB-IoU: 57.54 |  0: 19.96    |  1: 39.43    |  2: 40.95    |  3: 20.90    |  4: 37.97   
[Batch: 0111/2500] mIoU: 32.01  |  FB-IoU: 57.65 |  0: 20.78    |  1: 39.43    |  2: 40.95    |  3: 20.90    |  4: 37.97   
[Batch: 0112/2500] mIoU: 31.84  |  FB-IoU: 57.59 |  0: 20.78    |  1: 38.57    |  2: 40.95    |  3: 20.90    |  4: 37.97   
[Batch: 0113/2500] mIoU: 31.44  |  FB-IoU: 57.29 |  0: 20.78    |  1: 38.57    |  2: 38.98    |  3: 20.90    |  4: 37.97   
[Batch: 0114/2500] mIoU: 31.65  |  FB-IoU: 57.38 |  0: 20.78    |  1: 38.57    |  2: 38.98    |  3: 21.95    |  4: 37.97   
[Batch: 0115/2500] mIoU: 31.74  |  FB-IoU: 57.52 |  0: 20.78    |  1: 38.57    |  2: 38.98    |  3: 21.95    |  4: 38.43   
[Batch: 0116/2500] mIoU: 31.79  |  FB-IoU: 57.47 |  0: 21.01    |  1: 38.57    |  2: 38.98    |  3: 21.95    |  4: 38.43   
[Batch: 0117/2500] mIoU: 31.84  |  FB-IoU: 57.54 |  0: 21.01    |  1: 38.84    |  2: 38.98    |  3: 21.95    |  4: 38.43   
[Batch: 0118/2500] mIoU: 32.03  |  FB-IoU: 57.73 |  0: 21.01    |  1: 38.84    |  2: 39.92    |  3: 21.95    |  4: 38.43   
[Batch: 0119/2500] mIoU: 32.14  |  FB-IoU: 57.81 |  0: 21.01    |  1: 38.84    |  2: 39.92    |  3: 22.49    |  4: 38.43   
